symbol: INFY  - (Normal), sl: 1960.05   , volume: 235459,  percentage_change: 1.01, bid: [{'price': 1973.85, 'quantity': 4, 'orders': 1}, {'price': 1973.65, 'quantity': 101, 'orders': 1}, {'price': 1973.55, 'quantity': 58, 'orders': 1}, {'price': 1973.5, 'quantity': 42, 'orders': 3}, {'price': 1973.45, 'quantity': 189, 'orders': 1}] , sell : [{'price': 1973.95, 'quantity': 16, 'orders': 1}, {'price': 1974, 'quantity': 328, 'orders': 7}, {'price': 1974.15, 'quantity': 11, 'orders': 2}, {'price': 1974.2, 'quantity': 300, 'orders': 1}, {'price': 1974.25, 'quantity': 44, 'orders': 2}] , time: 2024-10-15 09:19:14.052072
symbol: SAMHI  - (Normal), sl: 201.85   , volume: 64432,  percentage_change: 1.25, bid: [{'price': 203.5, 'quantity': 1, 'orders': 1}, {'price': 203.41, 'quantity': 2, 'orders': 1}, {'price': 203.37, 'quantity': 56, 'orders': 2}, {'price': 203.36, 'quantity': 24, 'orders': 1}, {'price': 203.35, 'quantity': 102, 'orders': 2}] , sell : [{'price': 203.51, 'quantity': 23, 'orders': 3}, {'price': 203.82, 'quantity': 129, 'orders': 3}, {'price': 203.83, 'quantity': 14, 'orders': 2}, {'price': 203.84, 'quantity': 5, 'orders': 1}, {'price': 203.87, 'quantity': 113, 'orders': 2}] , time: 2024-10-15 09:19:23.095071


-------------

symbol: ADANIPOWER  - (Normal), sl: 631.55   , volume: 35791,  percentage_change: 0.67, bid: [{'price': 622.75, 'quantity': 295, 'orders': 3}, {'price': 622.7, 'quantity': 9, 'orders': 2}, {'price': 622.65, 'quantity': 325, 'orders': 4}, {'price': 622.6, 'quantity': 100, 'orders': 4}, {'price': 622.55, 'quantity': 921, 'orders': 6}] , sell : [{'price': 622.95, 'quantity': 136, 'orders': 4}, {'price': 623, 'quantity': 245, 'orders': 7}, {'price': 623.05, 'quantity': 4, 'orders': 1}, {'price': 623.1, 'quantity': 7, 'orders': 1}, {'price': 623.15, 'quantity': 98, 'orders': 3}] , time: 2024-10-16 12:24:34.891756
symbol: ASHOKA  - (Normal), sl: 256   , volume: 407654,  percentage_change: 2.11, bid: [{'price': 258.15, 'quantity': 57, 'orders': 4}, {'price': 258.13, 'quantity': 6, 'orders': 1}, {'price': 258.12, 'quantity': 213, 'orders': 1}, {'price': 258.11, 'quantity': 30, 'orders': 1}, {'price': 258.1, 'quantity': 459, 'orders': 6}] , sell : [{'price': 258.25, 'quantity': 131, 'orders': 2}, {'price': 258.38, 'quantity': 15, 'orders': 3}, {'price': 258.41, 'quantity': 7, 'orders': 1}, {'price': 258.42, 'quantity': 14, 'orders': 3}, {'price': 258.43, 'quantity': 107, 'orders': 2}] , time: 2024-10-16 12:24:52.396332
symbol: FILATEX  - (Normal), sl: 57.86   , volume: 41879,  percentage_change: 0.9, bid: [{'price': 57.08, 'quantity': 5, 'orders': 1}, {'price': 57.07, 'quantity': 157, 'orders': 3}, {'price': 57.06, 'quantity': 157, 'orders': 1}, {'price': 57.05, 'quantity': 196, 'orders': 1}, {'price': 57.04, 'quantity': 5, 'orders': 1}] , sell : [{'price': 57.15, 'quantity': 328, 'orders': 6}, {'price': 57.16, 'quantity': 287, 'orders': 2}, {'price': 57.17, 'quantity': 432, 'orders': 6}, {'price': 57.18, 'quantity': 197, 'orders': 4}, {'price': 57.19, 'quantity': 455, 'orders': 5}] , time: 2024-10-16 12:26:05.670027
symbol: ICICIBANK  - (Normal), sl: 1248.5   , volume: 230407,  percentage_change: 0.3, bid: [{'price': 1249.95, 'quantity': 59, 'orders': 4}, {'price': 1249.9, 'quantity': 313, 'orders': 6}, {'price': 1249.85, 'quantity': 459, 'orders': 4}, {'price': 1249.8, 'quantity': 402, 'orders': 2}, {'price': 1249.75, 'quantity': 332, 'orders': 2}] , sell : [{'price': 1250, 'quantity': 345, 'orders': 6}, {'price': 1250.25, 'quantity': 52, 'orders': 2}, {'price': 1250.3, 'quantity': 4, 'orders': 1}, {'price': 1250.35, 'quantity': 139, 'orders': 3}, {'price': 1250.4, 'quantity': 238, 'orders': 6}] , time: 2024-10-16 12:26:51.470310
symbol: IDFCFIRSTB  - (Normal), sl: 72.5   , volume: 258626,  percentage_change: 0.32, bid: [{'price': 72.68, 'quantity': 177, 'orders': 7}, {'price': 72.67, 'quantity': 425, 'orders': 7}, {'price': 72.66, 'quantity': 6697, 'orders': 11}, {'price': 72.65, 'quantity': 9452, 'orders': 15}, {'price': 72.64, 'quantity': 4118, 'orders': 12}] , sell : [{'price': 72.69, 'quantity': 1027, 'orders': 1}, {'price': 72.71, 'quantity': 2, 'orders': 1}, {'price': 72.72, 'quantity': 3978, 'orders': 11}, {'price': 72.73, 'quantity': 7734, 'orders': 8}, {'price': 72.74, 'quantity': 3749, 'orders': 11}] , time: 2024-10-16 12:26:53.886978
symbol: INDIGO  - (Normal), sl: 4745.15   , volume: 58014,  percentage_change: 0.9, bid: [{'price': 4704.1, 'quantity': 1, 'orders': 1}, {'price': 4704.05, 'quantity': 13, 'orders': 1}, {'price': 4704, 'quantity': 3, 'orders': 2}, {'price': 4703.9, 'quantity': 1, 'orders': 1}, {'price': 4703.85, 'quantity': 11, 'orders': 1}] , sell : [{'price': 4704.35, 'quantity': 165, 'orders': 11}, {'price': 4704.85, 'quantity': 18, 'orders': 1}, {'price': 4704.95, 'quantity': 11, 'orders': 2}, {'price': 4705, 'quantity': 176, 'orders': 5}, {'price': 4705.35, 'quantity': 133, 'orders': 4}] , time: 2024-10-16 12:26:59.215900
symbol: POLICYBZR  - (Normal), sl: 1676   , volume: 35862,  percentage_change: 1.91, bid: [{'price': 1696.05, 'quantity': 15, 'orders': 1}, {'price': 1695.8, 'quantity': 9, 'orders': 5}, {'price': 1695.75, 'quantity': 18, 'orders': 2}, {'price': 1695.6, 'quantity': 10, 'orders': 1}, {'price': 1695.5, 'quantity': 10, 'orders': 2}] , sell : [{'price': 1697.05, 'quantity': 63, 'orders': 5}, {'price': 1697.1, 'quantity': 2, 'orders': 1}, {'price': 1697.15, 'quantity': 2, 'orders': 1}, {'price': 1697.2, 'quantity': 6, 'orders': 1}, {'price': 1697.3, 'quantity': 8, 'orders': 1}] , time: 2024-10-16 12:28:44.743044
symbol: PVRINOX  - (Normal), sl: 1597.05   , volume: 77904,  percentage_change: 1.93, bid: [{'price': 1608.3, 'quantity': 62, 'orders': 1}, {'price': 1608.2, 'quantity': 2, 'orders': 1}, {'price': 1608.1, 'quantity': 4, 'orders': 2}, {'price': 1608.05, 'quantity': 27, 'orders': 3}, {'price': 1607.9, 'quantity': 429, 'orders': 4}] , sell : [{'price': 1608.65, 'quantity': 4, 'orders': 1}, {'price': 1608.7, 'quantity': 3, 'orders': 1}, {'price': 1608.75, 'quantity': 1, 'orders': 1}, {'price': 1608.8, 'quantity': 1, 'orders': 1}, {'price': 1609.05, 'quantity': 2, 'orders': 2}] , time: 2024-10-16 12:28:54.377539
