symbol,change,percentage_change,price,volume,oscillators_recommendation,analysis_time,recommendation,imbalance,sellside_imabalance_ratio
MACPOWER,-26.40000000000009,-1.7226753670473143,1506.1,43,NEUTRAL,2025-01-01 09:20:21.390064,SELL,-6,1.32
AIROLAM,-2.1899999999999977,-1.6718833498740344,128.8,2,NEUTRAL,2025-01-01 09:19:24.399828,SELL,-322,3.98
GHCLTEXTIL,-1.5600000000000023,-1.5339233038348106,100.14,9079,SELL,2025-01-01 09:19:53.969555,SELL,152,0.38
AMIORG,-33.19999999999982,-1.5299539170506828,2136.8,11704,SELL,2025-01-01 09:19:26.827364,STRONG_SELL,29,0.42
ESCORTS,-48.149999999999636,-1.4563547274816901,3258.05,33134,SELL,2025-01-01 09:19:49.737957,STRONG_SELL,-22,1.46
BIRLAMONEY,-3.8999999999999773,-1.4233576642335684,270.1,1582,BUY,2025-01-01 09:19:35.482883,BUY,,
CCL,-9.649999999999977,-1.2933923066613024,736.45,3812,NEUTRAL,2025-01-01 09:19:37.957729,BUY,-28,1.45
HNGSNGBEES,-4.3700000000000045,-1.2678794208953503,340.3,2347,NEUTRAL,2025-01-01 09:20:02.464628,STRONG_SELL,1100,0.13
APEX,-3.3999999999999773,-1.2527634487840742,268,60312,SELL,2025-01-01 09:19:28.170014,SELL,1434,0.06
AVANTIFEED,-8.149999999999977,-1.216417910447758,661.85,446546,SELL,2025-01-01 09:19:31.662077,NEUTRAL,97,0.81
BAJAJHLDNG,-139.25,-1.1673477941946977,11789.5,6686,NEUTRAL,2025-01-01 09:19:32.771874,NEUTRAL,2,0.8
DIGIDRIVE,-0.5300000000000011,-1.1638120333772533,45.01,1026,NEUTRAL,2025-01-01 09:19:44.398078,BUY,887,0.14
FEDFINA,-1.210000000000008,-1.1636853241007963,102.77,8811,BUY,2025-01-01 09:19:50.948154,BUY,-90,1.51
UTIBANKETF,-0.6099999999999994,-1.157934700075929,52.07,1002,NEUTRAL,2025-01-01 09:21:02.648165,SELL,-104347,1.19
symbol,change,percentage_change,price,volume,oscillators_recommendation,analysis_time,recommendation,imbalance,sellside_imabalance_ratio
SHAILY,-40,-2.7210884353741496,1430,86,SELL,2025-01-01 09:22:42.518930,STRONG_SELL,,
TVSHLTD,-234.4499999999989,-2.302898145010377,9946.2,2680,SELL,2025-01-01 09:22:54.902873,STRONG_SELL,14,0.59
SPLIL,-1.3900000000000006,-2.2642124124450245,60,1454,SELL,2025-01-01 09:22:47.011794,STRONG_SELL,752,0.36
SIGNPOST,-8,-2.13903743315508,366,575,NEUTRAL,2025-01-01 09:22:44.361780,BUY,,
CHEMFAB,-18.300000000000182,-1.7168589924008049,1047.6,75,NEUTRAL,2025-01-01 09:21:36.598078,BUY,-1,1.06
ABSLBANETF,-0.7800000000000011,-1.4974083317335403,51.31,92,SELL,2025-01-01 09:21:19.072587,STRONG_SELL,164,1.0
NEWGEN,-24.90000000000009,-1.4263210654446565,1720.85,34015,SELL,2025-01-01 09:22:25.056391,BUY,-10,1.16
KOTHARIPRO,-2.680000000000007,-1.346733668341712,196.32,167,SELL,2025-01-01 09:22:10.511757,STRONG_SELL,,
NSIL,-104.34999999999945,-1.3357825881027594,7707.55,541,SELL,2025-01-01 09:22:26.987702,SELL,-44,1.37
UTKARSHBNK,-0.4200000000000017,-1.2198663955852502,34.01,108546,NEUTRAL,2025-01-01 09:22:57.220771,SELL,490,0.9
DIGIDRIVE,-0.5300000000000011,-1.1638120333772533,45.01,1026,NEUTRAL,2025-01-01 09:21:42.109603,BUY,751,0.26
DEN,-0.480000000000004,-1.0886822408709549,43.61,10989,NEUTRAL,2025-01-01 09:21:41.176434,BUY,-1421,1.43
SHAREINDIA,-3.25,-1.0667979648777286,301.4,27049,SELL,2025-01-01 09:22:43.005781,STRONG_SELL,-278,2.9
PREMEXPLN,-5.5499999999999545,-1.0090909090909008,544.45,7006,NEUTRAL,2025-01-01 09:22:32.834508,BUY,-175,1.61
LLOYDSENT,-0.5,-1.0050251256281406,49.25,13961,NEUTRAL,2025-01-01 09:22:13.354167,SELL,51,0.96
PENIND,-1.9599999999999795,-1.0015329586101072,193.74,1802,NEUTRAL,2025-01-01 09:22:30.103817,NEUTRAL,52,0.86
INDRAMEDCO,-5.399999999999977,-0.9952082565425686,537.2,15264,NEUTRAL,2025-01-01 09:22:01.619448,BUY,-3150,17.94
LIQUIDETF,-10.0,-0.9901088129585442,999.99,46,NEUTRAL,2025-01-01 09:22:13.202232,STRONG_SELL,-150026,1.6
KINGFA,-35,-0.9859154929577465,3515,129,SELL,2025-01-01 09:22:09.783138,BUY,-5,1.28
PARACABLES,-0.7800000000000011,-0.9363745498199294,82.52,23360,NEUTRAL,2025-01-01 09:22:29.456205,BUY,-3781,6.63
symbol,change,percentage_change,price,volume,oscillators_recommendation,analysis_time,recommendation,imbalance,sellside_imabalance_ratio
TVSHLTD,-298.5499999999993,-2.9325239547573023,9882.1,3274,SELL,2025-01-01 09:24:45.728206,STRONG_SELL,-7,1.7
CHEMFAB,-29.75,-2.7910685805422646,1036.15,1595,NEUTRAL,2025-01-01 09:23:30.152968,BUY,3,0.81
SIGNPOST,-8,-2.13903743315508,366,923,NEUTRAL,2025-01-01 09:24:34.273326,BUY,,
NEWGEN,-33.40000000000009,-1.9132178146928307,1712.35,63632,NEUTRAL,2025-01-01 09:24:13.881135,BUY,-6,1.1
PREMEXPLN,-9,-1.6363636363636365,541,24984,NEUTRAL,2025-01-01 09:24:22.382427,BUY,-2162,15.51
REPL,-5,-1.5974440894568689,308,2499,NEUTRAL,2025-01-01 09:24:25.862817,BUY,,
SHAILY,-22,-1.4965986394557822,1448,100,SELL,2025-01-01 09:24:32.363336,SELL,,
INOXINDIA,-15.5,-1.407172038129823,1086,10491,SELL,2025-01-01 09:23:53.998149,STRONG_SELL,-13,1.42
UTKARSHBNK,-0.4799999999999969,-1.3941330235259857,33.95,146500,NEUTRAL,2025-01-01 09:24:48.311777,SELL,3758,0.43
DIGIDRIVE,-0.5300000000000011,-1.1638120333772533,45.01,1026,NEUTRAL,2025-01-01 09:23:35.146812,BUY,759,0.25
EMMBI,-1.8000000000000114,-1.0778443113772522,165.2,11667,SELL,2025-01-01 09:23:38.050387,BUY,-193,2.86
NAVKARCORP,-1.6800000000000068,-1.0090090090090131,164.82,38231,NEUTRAL,2025-01-01 09:24:13.219873,STRONG_SELL,2843,0.11
DIAMONDYD,-11.450000000000045,-1.0057092665788359,1127.05,2373,SELL,2025-01-01 09:23:34.985384,BUY,14,0.78
MOKSH,-0.17999999999999972,-0.9090909090909076,19.62,316,SELL,2025-01-01 09:24:08.882012,NEUTRAL,977,0.65
DLINKINDIA,-5,-0.8928571428571428,555,8734,NEUTRAL,2025-01-01 09:23:35.543858,BUY,-54,1.48
SDL26BEES,-1.1299999999999955,-0.8899740096085653,125.84,2,SELL,2025-01-01 09:24:31.298604,STRONG_SELL,-4399,1.83
ECLERX,-31.950000000000273,-0.8797048376882699,3599.95,17207,NEUTRAL,2025-01-01 09:23:36.873965,BUY,-39,3.17
KINGFA,-29.949999999999818,-0.8436619718309809,3520.05,270,NEUTRAL,2025-01-01 09:24:00.254588,BUY,-16,3.29
GHCL,-6.0499999999999545,-0.8235214047505552,728.6,35250,SELL,2025-01-01 09:23:42.355624,BUY,562,0.21
NSIL,-63.69999999999982,-0.815422624457556,7748.2,1999,SELL,2025-01-01 09:24:15.769277,SELL,2,0.83
symbol,change,percentage_change,price,volume,oscillators_recommendation,analysis_time,recommendation,imbalance,sellside_imabalance_ratio
CHEMFAB,-27.65000000000009,-2.594051974856937,1038.25,1619,NEUTRAL,2025-01-01 09:25:20.390481,BUY,1,0.93
INTELLECT,-20.699999999999932,-2.064014358360747,982.2,84221,NEUTRAL,2025-01-01 09:25:46.074547,BUY,-26,1.1
SIGNPOST,-5.350000000000023,-1.4595553130541596,361.2,211,SELL,2025-01-01 09:26:25.763613,SELL,,
MONARCH,-6.050000000000011,-1.3601618705035996,438.75,10744,NEUTRAL,2025-01-01 09:26:02.132837,BUY,304,0.27
CUBEXTUB,-1,-1.1494252873563218,86,160,NEUTRAL,2025-01-01 09:25:23.428085,BUY,103,0.1
